Country,Total_Death,Total_Recovered,Total_Cases,Critical
Belgium,34376,4826068,4861319,
Sweden,27390,2726215,2753953,
Slovakia,21224,1856381,1877605,23
Finland,11958,1503724,1515949,
Lithuania,9897,1386964,1397503,
Romania,68924,3459320,3529078,33
Canada,58972,4875610,4944196,99
Bulgaria,38746,1292914,1339762,35
Thailand,34581,4692636,4769277,
Serbia,18057,2596491,2614782,
Guatemala,20289,1269891,1291293,5
Spain,121760,13762417,13914811,231
Taiwan,19005,10222518,10241523,
Japan,74694,,33803572,
France,167642,39970918,40138560,
S-Korea,35934,34535939,34571873,
Turkey,102174,,17232066,
Greece,37869,,6101379,
Mexico,334958,6899865,7702809,
Argentina,130733,9963910,10094643,
Colombia,143200,6212152,6400173,342
Vietnam,43206,10640971,11625195,
South-America,1366810,66650237,70108311,8953
Brazil,710966,36249161,38694221,
Indonesia,162063,6647104,6829162,
Italy,196446,26356336,26722143,27
Iran,146811,,7627186,
Russia,402612,23500207,24082671,
Netherlands,22992,8612069,8635591,
Africa,258892,12090796,12860894,529
UK,232112,24675212,24910387,
USA,1218763,109682509,111752653,1111
Oceania,32934,14730318,14878722,36
Australia,24356,11806633,11843536,8
Poland,120597,,6661841,
India,533543,,45034022,
Asia,1553425,205667391,221489058,14733
North-America,1695155,127527505,131819776,6266
Europe,2101467,248695963,253357473,4483
Germany,182905,38240600,38826911,
